code,servingSizeG,kcalPer100g,carbsPer100g,proteinPer100g,fatPer100g,sugarPer100g,sodiumMgPer100g,fiberPer100g,saturatedFatPer100g,transFatPer100g,cholesterolMgPer100g,maker,name
MANUAL-RIA-ad4b1ed7,515,51.07,12.62,0,0.07,12.43,0,,0,,,롯데리아,아이스티(L)
MANUAL-RIA-42bf86f8,420,0,0,0,0,0,13.1,,0,,,롯데리아,제로슈거콜라(R)
MANUAL-RIA-c90221f1,570,0,0,0,0,0,13.16,,0,,,롯데리아,제로슈거콜라(L)
MANUAL-RIA-9ab79a44,420,30.48,7.53,0,0.04,7.38,3.57,,0,,,롯데리아,펩시콜라(R)
MANUAL-RIA-5d49e38f,570,30.53,7.54,0,0.04,7.37,3.51,,0,,,롯데리아,펩시콜라(L)
MANUAL-RIA-351ecff0,420,31.67,7.82,0,0.04,7.38,1.19,,0,,,롯데리아,사이다(R)
MANUAL-RIA-a7353d58,570,31.93,7.89,0,0.04,7.37,1.75,,0,,,롯데리아,사이다(L)
MANUAL-RIA-ce11f447,241,0.83,0.21,0,0,0,0,,0,,,롯데리아,캐모마일 티
MANUAL-RIA-99f157ce,440,144.09,27.52,2.05,2.87,18.64,50,,0.68,,,롯데리아,말차빙수(보냉백 포함)
MANUAL-RIA-3d8bd5dc,440,144.09,27.52,2.05,2.87,18.64,50,,0.68,,,롯데리아,말차빙수(보냉백 미포함)
MANUAL-RIA-06dc0412,511,117.61,22.23,1.96,2.32,19.37,27.4,,0.59,,,롯데리아,팥빙수(보냉백 포함)
MANUAL-RIA-f09f077b,511,117.61,22.23,1.96,2.32,19.37,27.4,,0.59,,,롯데리아,팥빙수(보냉백 미포함)
MANUAL-RIA-7aed75ee,190,179.47,27.23,2.63,6.67,21.05,84.21,,3.68,,,롯데리아,토네이도 말차쿠키
MANUAL-RIA-0901c58b,177,148.59,22.49,2.26,5.51,20.34,36.72,,3.39,,,롯데리아,토네이도 스트로베리
MANUAL-RIA-6d5728f6,190,147.37,22.39,2.11,5.49,21.05,39.47,,3.16,,,롯데리아,토네이도 망고젤리
MANUAL-RIA-8d7f4d54,175,171.43,25.78,2.86,6.32,18.29,91.43,,4,,,롯데리아,토네이도 초코쿠키
MANUAL-RIA-59e1d8c0,190,177.89,26.97,2.63,6.61,20.53,84.21,,3.68,,,롯데리아,토네이도 더블초코
MANUAL-RIA-ec10cab1,98,289.8,33.04,3.06,16.15,2.04,510.2,,2.86,,,롯데리아,포테이토
MANUAL-RIA-e7b6f0fc,148,283.78,32.18,3.38,15.73,3.38,540.54,,2.77,,,롯데리아,포테이토(L)
MANUAL-RIA-5bb0060a,49,322.45,20.09,16.33,19.64,0,551.02,,7.55,,,롯데리아,치즈스틱
MANUAL-RIA-6005503e,49,322.45,20.09,16.33,19.64,0,469.39,,8.16,,,롯데리아,롱치즈스틱
MANUAL-RIA-d8033442,97,171.13,10.79,8.25,10.55,8.25,432.99,,0.52,,,롯데리아,통오징어링
MANUAL-RIA-703e8e2b,128,310.16,19.84,14.06,19.4,0,484.38,,4.69,,,롯데리아,지파이 고소한맛(S)
MANUAL-RIA-f09f2486,160,353.75,22.56,16.25,22.06,0.62,856.25,,2.62,,,롯데리아,지파이 하바네로(L)
MANUAL-RIA-a8469827,117,307.69,35,3.42,17.11,0,435.9,,3.16,,,롯데리아,양념감자(시즈닝미포함)
MANUAL-RIA-718e191a,114,236.84,13.29,16.67,13,0,429.82,,2.89,,,롯데리아,양념너겟(시즈닝미포함)
MANUAL-RIA-73ec35f6,114,236.84,13.29,16.67,13,0,429.82,,2.89,,,롯데리아,치킨너겟(소스미포함)
MANUAL-RIA-9c05beaf,100,112,12,0,7.11,12,130,,1,,,롯데리아,코울슬로
MANUAL-RIA-0cbd51ea,112,258.93,16.04,13.39,15.69,13.39,598.21,,1.79,,,롯데리아,디지게 매운 돈까스(양념맛)
MANUAL-RIA-8036b1b7,112,250,15.35,13.39,15,11.61,464.29,,1.88,,,롯데리아,디지게 매운 돈까스(디진다맛)
MANUAL-RIA-0bd786e7,221,235.29,20.46,8.14,13.43,2.26,407.24,,2.71,,,롯데리아,야채라이스 불고기
MANUAL-RIA-b083ea3a,205,211.71,19.2,5.37,12.6,1.46,434.15,,1.07,,,롯데리아,야채라이스 새우
MANUAL-RIA-64569035,159,242.77,20.95,8.81,13.75,3.14,320.75,,5.03,,,롯데리아,베이컨에그번
MANUAL-RIA-eacf7e62,180,247.78,21.87,7.78,14.35,3.33,327.78,,5,,,롯데리아,에그샐러드번
MANUAL-RIA-8de1a0b1,321,257.01,22.17,9.35,14.55,4.05,473.52,,2.49,,,롯데리아,새우 + 치킨버거
